iucn_sid,sciname,population,old_cat,cat,cat_score
6335,Delphinapterus leucas,NA,LC,LC,0
6336,Delphinus delphis,NA,LC,LC,0
6337,Delphinus capensis,NA,DD,DD,NA
6494,Dermochelys coriacea,NA,VU,VU,0.4
6814,Dunckerocampus dactyliophorus,NA,DD,DD,NA
6909,Dugong dugon,NA,VU,VU,0.4
7011,Echinus esculentus,NA,LR/nt,NT,0.2
7035,Edwardsia ivelli,NA,DD,DD,NA
7134,Eleotris sandwicensis,NA,DD,DD,NA
7135,Eleotris melanosoma,NA,LC,LC,0
7750,Enhydra lutris,NA,EN,EN,0.6
7778,Entomacrodus cadenati,NA,LC,LC,0
7854,Epinephelus drummondhayi,NA,DD,DD,NA
7855,Hyporthodus exsul,NA,LC,LC,0
7858,Epinephelus lanceolatus,NA,DD,DD,NA
7859,Epinephelus marginatus,NA,VU,VU,0.4
7860,Hyporthodus nigritus,NA,NT,NT,0.2
7861,Hyporthodus niveatus,NA,VU,VU,0.4
7862,Epinephelus striatus,NA,CR,CR,0.8
8005,Eretmochelys imbricata,NA,CR,CR,0.8
8010,Erignathus barbatus,NA,LC,LC,0
8012,Erignathus barbatus ssp. barbatus,NA,LC,LC,0
8013,Erignathus barbatus ssp. nauticus,NA,LC,LC,0
8097,Eschrichtius robustus,NA,LC,LC,0
8099,Eschrichtius robustus,western subpopulation,EN,EN,0.6
8153,Eubalaena australis,NA,LC,LC,0
8239,Eumetopias jubatus,NA,NT,NT,0.2
8261,Eunice viridis,NA,DD,DD,NA
8262,Eunicella verrucosa,NA,VU,VU,0.4
8407,Eurypegasus draconis,NA,LC,LC,0
8408,Eurypegasus papilio,NA,LC,LC,0
8409,Eurypegasus draconis,Philippines stock,VU,VU,0.4
8551,Feresa attenuata,NA,LC,LC,0
8784,Gadus morhua,NA,VU,VU,0.4
8806,Galaxias johnstoni,NA,CR,CR,0.8
8817,Galaxias argenteus,NA,VU,VU,0.4
8951,Gasterosteus aculeatus,NA,LC,LC,0
9175,Gibberula cucullata,NA,DD,DD,NA
9176,Gibberula modica,NA,DD,DD,NA
9177,Gibberula puntillum,NA,DD,DD,NA
9249,Globicephala macrorhynchus,NA,LC,LC,0
9250,Globicephala melas,NA,LC,LC,0
9266,Psammogobius biocellatus,NA,LC,LC,0
9281,Glyphis gangeticus,NA,CR,CR,0.8
9461,Grampus griseus,NA,LC,LC,0
9463,Granulina parilis,NA,DD,DD,NA
9660,Halichoerus grypus,NA,LC,LC,0
10016,Heteropoma fulva,NA,DD,DD,NA
10017,Heteropoma glabratum,NA,DD,DD,NA
10018,Heteropoma pyramis,NA,DD,DD,NA
10019,Heteropoma quadrasi,NA,DD,DD,NA
10020,Heteropoma tuberculatum,NA,DD,DD,NA
10021,Heteropoma turritum,NA,DD,DD,NA
10030,Hexanchus griseus,NA,NT,NT,0.2
10056,Hippocampus capensis,NA,EN,EN,0.6
10057,Hippocampus abdominalis,NA,LC,LC,0
10060,Hippocampus bargibanti,NA,DD,DD,NA
10063,Hippocampus breviceps,NA,LC,LC,0
10064,Hippocampus camelopardalis,NA,DD,DD,NA
10065,Hippocampus coronatus,NA,DD,DD,NA
10066,Hippocampus erectus,NA,VU,VU,0.4
10069,Hippocampus hippocampus,NA,DD,DD,NA
10070,Hippocampus histrix,NA,VU,VU,0.4
10072,Hippocampus ingens,NA,VU,VU,0.4
10074,Hippocampus jayakari,NA,LC,LC,0
10075,Hippocampus kuda,NA,VU,VU,0.4
10077,Hippocampus minotaur,NA,DD,DD,NA
10082,Hippocampus reidi,NA,NT,NT,0.2
10083,Hippocampus sindonis,NA,LC,LC,0
10087,Hippocampus trimaculatus,NA,VU,VU,0.4
10088,Hippocampus whitei,NA,EN,EN,0.6
10089,Hippocampus zosterae,NA,LC,LC,0
10097,Hippoglossus hippoglossus,NA,EN,EN,0.6
10105,Hippopus hippopus,NA,LR/cd,VU,0.4
10106,Hippopus porcellanus,NA,LR/cd,VU,0.4
10268,Huso dauricus,NA,CR,CR,0.8
10269,Huso huso,NA,CR,CR,0.8
10273,Huso huso,Adriatic Sea stock,EX,EX,1
10303,Hydrodamalis gigas,NA,EX,EX,1
10340,Hydrurga leptonyx,NA,LC,LC,0
10707,Hyperoodon ampullatus,NA,DD,DD,NA
10708,Hyperoodon planifrons,NA,LC,LC,0
10724,Hypoplectrus providencianus,NA,LC,LC,0
10939,Jenkinsia parvula,NA,DD,DD,NA
11030,Knipowitschia caucasica,NA,LC,LC,0
11047,Kogia breviceps,NA,DD,DD,NA
11048,Kogia sima,NA,DD,DD,NA
11060,Kuhlia marginata,NA,LC,LC,0
11130,Lachnolaimus maximus,NA,VU,VU,0.4
11140,Lagenodelphis hosei,NA,LC,LC,0
11141,Lagenorhynchus acutus,NA,LC,LC,0
11142,Lagenorhynchus albirostris,NA,LC,LC,0
11143,Lagenorhynchus australis,NA,LC,LC,0
11144,Lagenorhynchus cruciger,NA,LC,LC,0
11145,Lagenorhynchus obliquidens,NA,LC,LC,0
11146,Lagenorhynchus obscurus,NA,LC,LC,0
11150,Lagocephalus gloveri,NA,DD,DD,NA
11191,Ophioglossolambis violacea,NA,DD,DD,NA
11200,Lamna nasus,NA,VU,VU,0.4
11368,Latiaxis babelis,NA,LR/nt,NT,0.2
11375,Latimeria chalumnae,NA,CR,CR,0.8
11501,Lentipes concolor,NA,DD,DD,NA
11533,Lepidochelys kempii,NA,CR,CR,0.8
11534,Lepidochelys olivacea,NA,VU,VU,0.4
11696,Leptonychotes weddellii,NA,LC,LC,0
11987,Limulus polyphemus,NA,VU,VU,0.4
12103,Liosaccus pachygaster,NA,VU,VU,0.4
12125,Lissodelphis borealis,NA,LC,LC,0
12126,Lissodelphis peronii,NA,LC,LC,0
12137,Lithognathus lithognathus,NA,EN,EN,0.6
12242,Littoraria flammea,NA,EX,EX,1
12244,Liza luciae,NA,EN,EN,0.6
12246,Lobodon carcinophaga,NA,LC,LC,0
12302,Lontra canadensis,NA,LC,LC,0
12303,Lontra felina,NA,EN,EN,0.6
12305,Lontra provocax,NA,EN,EN,0.6
12382,Lottia alveus,NA,EX,EX,1
12404,Luciogobius pallidus,NA,DD,DD,NA
12416,Lutjanus analis,NA,NT,NT,0.2
12417,Lutjanus cyanopterus,NA,VU,VU,0.4
12419,Lutra lutra,NA,NT,NT,0.2
12421,Lutra sumatrana,NA,EN,EN,0.6
12427,Lutrogale perspicillata,NA,VU,VU,0.4
12695,Malaclemys terrapin,NA,VU,VU,0.4
12807,Marginella chalmersi,NA,DD,DD,NA
12808,Marginella gemma,NA,DD,DD,NA
12809,Marginella liparozona,NA,DD,DD,NA
12810,Marginella melvilli,NA,DD,DD,NA
13006,Megaptera novaeangliae,NA,LC,LC,0
13045,Melanogrammus aeglefinus,NA,VU,VU,0.4
13145,Menidia conchorum,NA,EN,EN,0.6
13232,Mesogobius batrachocephalus,NA,LC,LC,0
13238,Mesonerilla prospera,NA,CR,CR,0.8
13241,Mesoplodon bidens,NA,DD,DD,NA
13242,Mesoplodon bowdoini,NA,DD,DD,NA
13243,Mesoplodon carlhubbsi,NA,DD,DD,NA
13244,Mesoplodon densirostris,NA,DD,DD,NA
13245,Mesoplodon europaeus,NA,DD,DD,NA
13246,Mesoplodon ginkgodens,NA,DD,DD,NA
13247,Mesoplodon grayi,NA,DD,DD,NA
13248,Mesoplodon hectori,NA,DD,DD,NA
13249,Mesoplodon layardii,NA,DD,DD,NA
13250,Mesoplodon mirus,NA,DD,DD,NA
13251,Mesoplodon peruvianus,NA,DD,DD,NA
13252,Mesoplodon stejnegeri,NA,DD,DD,NA
13581,Mirounga angustirostris,NA,LC,LC,0
13583,Mirounga leonina,NA,LC,LC,0
13653,Monachus monachus,NA,EN,EN,0.6
13654,Neomonachus schauinslandi,NA,EN,EN,0.6
13655,Neomonachus tropicalis,NA,EX,EX,1
13704,Monodon monoceros,NA,LC,LC,0
13852,Mordacia lapicida,NA,DD,DD,NA
13932,Muricopsis mariangelae,NA,DD,DD,NA
13933,Muricopsis matildae,NA,DD,DD,NA
13934,Muricopsis principensis,NA,DD,DD,NA
14048,Mycteroperca cidi,NA,DD,DD,NA
14049,Mycteroperca jordani,NA,EN,EN,0.6
14050,Mycteroperca microlepis,NA,VU,VU,0.4
14051,Mycteroperca olfax,NA,VU,VU,0.4
14052,Mycteroperca prionura,NA,DD,DD,NA
14053,Mycteroperca rosacea,NA,LC,LC,0
14054,Mycteroperca rubra,NA,LC,LC,0
14214,Myoxocephalus quadricornis,NA,LC,LC,0
14264,Myxus capensis,NA,LC,LC,0
14363,Natator depressus,NA,DD,DD,NA
14500,Nematostella vectensis,NA,VU,VU,0.4
14549,Neophoca cinerea,NA,EN,EN,0.6
14561,Neorapana grandis,NA,DD,DD,NA
14562,Neosalanx reganius,NA,EN,EN,0.6
14831,Nodipecten magnificus,NA,DD,DD,NA
15106,Odobenus rosmarus,NA,VU,VU,0.4
15108,Odobenus rosmarus ssp. rosmarus,NA,NT,NT,0.2
15184,Ogilbia galapagosensis,NA,VU,VU,0.4
15239,Oxyurichthys keiensis,NA,LC,LC,0
15269,Ommatophoca rossii,NA,LC,LC,0
15270,Omphalotropis albocarinata,NA,DD,DD,NA
15271,Omphalotropis carolinensis,NA,DD,DD,NA
15273,Omphalotropis cookei,NA,DD,DD,NA
15274,Omphalotropis elegans,NA,DD,DD,NA
15275,Omphalotropis elongatula,NA,DD,DD,NA
15276,Omphalotropis erosa,NA,DD,DD,NA
15278,Omphalotropis fragilis,NA,DD,DD,NA
15279,Omphalotropis gracilis,NA,DD,DD,NA
15280,Omphalotropis guamensis,NA,DD,DD,NA
15281,Omphalotropis howeinsulae,NA,DD,DD,NA
15283,Omphalotropis laevigata,NA,DD,DD,NA
15284,Omphalotropis laticosta,NA,DD,DD,NA
15285,Omphalotropis latilabris,NA,DD,DD,NA
15286,Omphalotropis mutica,NA,DD,DD,NA
15287,Omphalotropis ochthogyra,NA,DD,DD,NA
15288,Omphalotropis picta,NA,DD,DD,NA
15289,Omphalotropis pilosa,NA,DD,DD,NA
15290,Omphalotropis quadrasi,NA,DD,DD,NA
15291,Omphalotropis semicostulata,NA,DD,DD,NA
15292,Omphalotropis striatapila,NA,DD,DD,NA
15293,Omphalotropis submaritima,NA,DD,DD,NA
15295,Omphalotropis suturalis,NA,DD,DD,NA
15296,Omphalotropis tumidula,NA,DD,DD,NA
15297,Omphalotropis plicosa,NA,EX,EX,1
15298,Omphalotropis hieroglyphica,NA,EN,EN,0.6
15419,Orcaella brevirostris,NA,EN,EN,0.6
15421,Orcinus orca,NA,DD,DD,NA
15873,Pagrus pagrus,NA,LC,LC,0
15939,Pandaka pygmaea,NA,CR,CR,0.8
16011,Favonigobius melanobranchus,NA,LR/nt,NT,0.2
16012,Favonigobius reichei,NA,LC,LC,0
16083,Paradoxa confirmata,NA,DD,DD,NA
16084,Paradoxa thomensis,NA,DD,DD,NA
16185,Parapinnixa affinis,NA,EN,EN,0.6
16238,Paretroplus polyactis,NA,LC,LC,0
16474,Pegasus lancifer,NA,LC,LC,0
16475,Pegasus laternarius,NA,DD,DD,NA
16476,Pegasus volitans,NA,DD,DD,NA
16477,Pegasus volitans,Philippines stock,VU,VU,0.4
16478,Pegasus volitans,South China Sea stock,VU,VU,0.4
16564,Peponocephala electra,NA,LC,LC,0
16781,Petromyzon marinus,NA,LC,LC,0
16869,Phallodriloides macmasterae,NA,DD,DD,NA
17013,Phoca vitulina,NA,LC,LC,0
17014,Phoca vitulina ssp. stejnegeri,NA,DD,DD,NA
17020,Phoca vitulina ssp. vitulina,NA,LC,LC,0
17021,Phoca vitulina ssp. concolor,NA,LC,LC,0
17022,Phoca vitulina ssp. richardii,NA,LC,LC,0
17023,Phoca largha,NA,LC,LC,0
17026,Phocarctos hookeri,NA,EN,EN,0.6
17027,Phocoena phocoena,NA,LC,LC,0
17028,Phocoena sinus,NA,CR,CR,0.8
17029,Phocoena spinipinnis,NA,NT,NT,0.2
17030,Phocoena phocoena ssp. relicta,NA,EN,EN,0.6
17031,Phocoena phocoena,Baltic Sea subpopulation,CR,CR,0.8
17032,Phocoenoides dalli,NA,LC,LC,0
17096,Phycodurus eques,NA,LC,LC,0
17177,Phyllopteryx taeniolatus,NA,LC,LC,0
17245,Physiculus helenaensis,NA,DD,DD,NA
17595,Plecoglossus altivelis ssp. ryukyuensis,NA,EN,EN,0.6
17604,Plectranthias chungchowensis,NA,VU,VU,0.4
17710,Pleuronectes ferrugineus,NA,VU,VU,0.4
17974,Ponapella pihapiha,NA,DD,DD,NA
17977,Pontinus nigropunctatus,NA,LC,LC,0
17978,Pontoporia blainvillei,NA,VU,VU,0.4
18145,Priolepis robinsi,NA,LC,LC,0
18175,Pristis pectinata,NA,CR,CR,0.8
18374,Protemblemaria punctata,NA,LC,LC,0
18376,Proterorhinus marmoratus,NA,LC,LC,0
18383,Prototroctes maraena,NA,NT,NT,0.2
18428,Psephurus gladius,NA,CR,CR,0.8
18510,Pseudochromis pesi,NA,VU,VU,0.4
18596,Pseudorca crassidens,NA,NT,NT,0.2
18878,Pungitius pungitius,NA,LC,LC,0
19037,Quadrasiella clathrata,NA,DD,DD,NA
19038,Quadrasiella mucronata,NA,DD,DD,NA
19301,Ranella olearia,NA,LR/nt,NT,0.2
19302,Ranella parthenopaeum,NA,LR/nt,NT,0.2
19387,Redigobius dewaali,NA,LC,LC,0
19388,Redigobius bikolanus,NA,LC,LC,0
19488,Rhincodon typus,NA,EN,EN,0.6
19735,Kryptolebias marmoratus,NA,LC,LC,0
19798,Parasaccogaster melanomycter,NA,DD,DD,NA
19855,Salmo salar,NA,LR/lc,LC,0
19875,Salvelinus confluentus,NA,VU,VU,0.4
19896,Sanopus astrifer,NA,VU,VU,0.4
19897,Sanopus greenfieldorum,NA,VU,VU,0.4
19898,Sanopus reticulatus,NA,EN,EN,0.6
19899,Sanopus splendidus,NA,EN,EN,0.6
19938,Scaevatula amancicoi,NA,DD,DD,NA
19939,Scaevatula pellisserpentis,NA,DD,DD,NA
19950,Scarus guacamaia,NA,NT,NT,0.2
20047,Scomberomorus concolor,NA,VU,VU,0.4
20084,Sebastes fasciatus,NA,EN,EN,0.6
20085,Sebastes paucispinus,NA,CR,CR,0.8
20200,Sicyopus jonklaasi,NA,DD,DD,NA
20268,Siphonaria compressa,NA,CR,CR,0.8
20314,Solegnathus dunckeri,NA,DD,DD,NA
20315,Solegnathus hardwickii,NA,DD,DD,NA
20316,Solegnathus lettiensis,NA,DD,DD,NA
20317,Solegnathus robustus,NA,LC,LC,0
20318,Solegnathus spinosissimus,NA,DD,DD,NA
20425,Sousa teuszii,NA,CR,CR,0.8
20724,Stegastes sanctaehelenae,NA,LC,LC,0
20729,Stenella attenuata,NA,LC,LC,0
20730,Stenella clymene,NA,LC,LC,0
20731,Stenella coeruleoalba,NA,LC,LC,0
20732,Stenella frontalis,NA,LC,LC,0
20733,Stenella longirostris,NA,LC,LC,0
20738,Steno bredanensis,NA,LC,LC,0
20795,Stereolepis gigas,NA,CR,CR,0.8
20861,Sander marinus,NA,DD,DD,NA
21257,Syngnathus abaster,NA,LC,LC,0
21308,Tachypleus gigas,NA,DD,DD,NA
21309,Tachypleus tridentatus,NA,EN,EN,0.6
21326,Taenioides jacksoni,NA,LR/nt,NT,0.2
21341,Takifugu niphobles,NA,LC,LC,0
21342,Takifugu poecilonotus,NA,LC,LC,0
21343,Takifugu xanthopterus,NA,LC,LC,0
21500,Tasmacetus shepherdi,NA,DD,DD,NA
21560,Teinostoma fernandesi,NA,DD,DD,NA
21561,Teinostoma funiculatum,NA,DD,DD,NA
21628,Teramulus kieneri,NA,LC,LC,0
21681,Thaanumella angulosa,NA,DD,DD,NA
21682,Thaanumella cookei,NA,DD,DD,NA
21689,Thalassoma ascensionis,NA,DD,DD,NA
21855,Thryssa scratchleyi,NA,DD,DD,NA
21856,Thunnus alalunga,NA,NT,NT,0.2
21857,Thunnus albacares,NA,NT,NT,0.2
21858,Thunnus maccoyii,NA,CR,CR,0.8
21859,Thunnus obesus,NA,VU,VU,0.4
21860,Thunnus thynnus,NA,EN,EN,0.6
21994,Torquigener brevipinnis,NA,LC,LC,0
22003,Totoaba macdonaldi,NA,CR,CR,0.8
22103,Trichechus manatus,NA,VU,VU,0.4
22104,Trichechus senegalensis,NA,VU,VU,0.4
22105,Trichechus manatus ssp. manatus,NA,EN,EN,0.6
22106,Trichechus manatus ssp. latirostris,NA,EN,EN,0.6
22135,Tridacna crocea,NA,LR/lc,LC,0
22136,Tridacna derasa,NA,VU,VU,0.4
22137,Tridacna gigas,NA,VU,VU,0.4
22138,Tridacna maxima,NA,LR/cd,VU,0.4
22139,Tridacna rosewateri,NA,VU,VU,0.4
22140,Tridacna squamosa,NA,LR/cd,VU,0.4
22141,Tridacna mbalavuana,NA,VU,VU,0.4
22563,Tursiops truncatus,NA,LC,LC,0
22594,Typhlatya iliffei,NA,CR,CR,0.8
22823,Ursus maritimus,NA,VU,VU,0.4
23045,Volvarina insulana,NA,DD,DD,NA
23090,Wrayanna soluta,NA,DD,DD,NA
23148,Xiphias gladius,NA,LC,LC,0
23149,Xiphias gladius,North Atlantic stock,EN,EN,0.6
23163,Xyrichtys virens,NA,VU,VU,0.4
23211,Ziphius cavirostris,NA,LC,LC,0
23259,Zosterisessor ophiocephalus,NA,LC,LC,0
29609,Sebastolobus alascanus,NA,EN,EN,0.6
31382,Rhizophora apiculata,NA,LC,LC,0
33705,Dolichandrone spathacea,NA,LC,LC,0
34364,Aglaia cucullata,NA,DD,DD,NA
39302,Anthias regalis,NA,VU,VU,0.4
39303,Dermatolepis inermis,NA,DD,DD,NA
39304,Serranus dewegeri,NA,LR/nt,NT,0.2
39324,Notorynchus cepedianus,NA,DD,DD,NA
39327,Pristiophorus cirratus,NA,LC,LC,0
39328,Squatina californica,NA,NT,NT,0.2
39329,Squatina argentina,NA,CR,CR,0.8
39331,Squatina occulta,NA,CR,CR,0.8
39332,Squatina squatina,NA,CR,CR,0.8
39333,Heterodontus francisci,NA,DD,DD,NA
39334,Heterodontus portusjacksoni,NA,LC,LC,0
39335,Brachaelurus colcloughi,NA,VU,VU,0.4
39336,Odontaspis noronhai,NA,LC,LC,0
39337,Pseudocarcharias kamoharai,NA,LC,LC,0
39338,Megachasma pelagios,NA,LC,LC,0
39339,Alopias vulpinus,NA,VU,VU,0.4
39340,Cetorhinus maximus,Northeast Atlantic subpopulation,EN,EN,0.6
39341,Isurus oxyrinchus,NA,EN,EN,0.6
39342,Lamna ditropis,NA,LC,LC,0
39343,Lamna nasus,Northeast Atlantic subpopulation,CR,CR,0.8
39344,Lamna nasus,Northwest Atlantic subpopulation,EN,EN,0.6
39345,Haploblepharus edwardsii,NA,NT,NT,0.2
39346,Haploblepharus fuscus,NA,VU,VU,0.4
39347,Schroederichthys bivius,NA,DD,DD,NA
39348,Poroderma africanum,NA,NT,NT,0.2
39349,Scyliorhinus capensis,NA,NT,NT,0.2
39350,Leptocharias smithii,NA,NT,NT,0.2
39351,Furgaleus macki,NA,LC,LC,0
39352,Galeorhinus galeus,NA,VU,VU,0.4
39353,Hemitriakis leucoperiptera,NA,EN,EN,0.6
39354,Hypogaleus hyugaensis,NA,LC,LC,0
39355,Mustelus antarcticus,NA,LC,LC,0
39356,Mustelus lenticulatus,NA,LC,LC,0
39357,Mustelus asterias,NA,LC,LC,0
39358,Mustelus mustelus,NA,VU,VU,0.4
39359,Mustelus canis,NA,NT,NT,0.2
39360,Scylliogaleus quecketti,NA,VU,VU,0.4
39361,Triakis acutipinna,NA,EN,EN,0.6
39362,Triakis megalopterus,NA,NT,NT,0.2
39363,Triakis semifasciata,NA,LC,LC,0
39365,Carcharhinus amblyrhynchos,NA,NT,NT,0.2
39366,Carcharhinus amboinensis,NA,DD,DD,NA
39367,Carcharhinus borneensis,NA,EN,EN,0.6
39368,Carcharhinus brevipinna,NA,NT,NT,0.2
39369,Carcharhinus hemiodon,NA,CR,CR,0.8
39370,Carcharhinus falciformis,NA,VU,VU,0.4
39371,Carcharhinus leiodon,NA,EN,EN,0.6
39372,Carcharhinus leucas,NA,NT,NT,0.2
39373,Carcharhinus limbatus,Northwest Atlantic subpopulation,VU,VU,0.4
39374,Carcharhinus longimanus,NA,VU,VU,0.4
39375,Carcharhinus melanopterus,NA,NT,NT,0.2
39376,Carcharhinus obscurus,Northwest and Western Central Atlantic subpopulation,VU,VU,0.4
39378,Galeocerdo cuvier,NA,NT,NT,0.2
39379,Glyphis glyphis,NA,EN,EN,0.6
39380,Negaprion brevirostris,NA,NT,NT,0.2
39381,Prionace glauca,NA,NT,NT,0.2
39382,Rhizoprionodon terraenovae,NA,LC,LC,0
39383,Scoliodon laticaudus,NA,NT,NT,0.2
39384,Triaenodon obesus,NA,NT,NT,0.2
39385,Sphyrna lewini,NA,EN,EN,0.6
39386,Sphyrna mokarran,NA,EN,EN,0.6
39387,Sphyrna tiburo,NA,LC,LC,0
39388,Sphyrna zygaena,NA,VU,VU,0.4
39389,Anoxypristis cuspidata,NA,EN,EN,0.6
39390,Pristis clavata,NA,EN,EN,0.6
39393,Pristis zijsron,NA,CR,CR,0.8
39394,Rhynchobatus djiddensis,NA,CR,CR,0.8
39396,Tetronarce californica,NA,LC,LC,0
39397,Dipturus batis,NA,CR,CR,0.8
39399,Raja clavata,NA,NT,NT,0.2
39400,Raja microocellata,NA,NT,NT,0.2
39412,Taeniura lymma,NA,NT,NT,0.2
39413,Urogymnus asperrimus,NA,VU,VU,0.4
39415,Aetobatus narinari,NA,NT,NT,0.2
39416,Myliobatis californicus,NA,LC,LC,0
39418,Mobula mobular,NA,EN,EN,0.6
39427,Cephalorhynchus hectori ssp. maui,NA,CR,CR,0.8
39465,Squatina guggenheim,Brazilian subpopulation,EN,EN,0.6
39541,Notorynchus cepedianus,East Pacific subpopulation,LR/nt,NT,0.2
39543,Carcharhinus amboinensis,Southwest Indian Ocean subpopulation,NT,NT,0.2
39544,Carcharhinus brevipinna,Northwest Atlantic subpopulation,VU,VU,0.4
39545,Cetorhinus maximus,North Pacific subpopulation,EN,EN,0.6
39771,Dipturus laevis,NA,EN,EN,0.6
